title,artist,releasedate,genre,rating,Playtime,cover,review,sleeve,id,acquired
ÖSZTÖNLÉNY,Krúbi,2020,Rap,3,536,../../public/Albumcovers/ÖSZTÖNLÉNY.jpg,"That’s my first ever Hungarian Music that purchaesd. Honestly it’s not a mainstream for me, but sometimes it’s good listen a few songs from the album such as „Lejtő”, „Csekk” and „Dinamit”.",Plastic Case,1,2023
Donda [Disc 2],Kanye West,2022,Rap,3,12,../../public/Albumcovers/Donda2.jpg,Honestly I only listened this CD like one time. it’s not my favorite becaused it feels like it recycled from the Disc 1. But still I’m not reget it!,Plastic Case,2,2022
Eyeye,Lykke Li,2022,Electronica,5,3506,../../public/Albumcovers/EYEYE.jpg,"Firstly I doubted it’s going to be a good purchase, but turned out to be decent! I pretty much like this album especially listening on CD player not on headphones.",Paper sleeve,3,2023
I Never Learn,Lykke Li,2014,Electronica,4,1253,../../public/Albumcovers/IneverLearn.jpg,I partly like this CD and album. I prefer a few song on like „Sleeping Alone” or „Gunshot” etc. Only a few times I listened to the end. I dont reget it ’cause it has got a nice booklet!,Paper sleeve,4,2023
Youth Novels,Lykke Li,2008,Electronica,3,837,../../public/Albumcovers/YouthNovels.jpg,Now thats the album that I kinda reget it. It tought this album has the song name „Rich Kids Blues” but turns out to be not! Honestly It’s not my favorite but still it was only €4 so I won’t complain at all…,Plastic Case,5,2023
Happier Than Ever,Billie Eilish,2021,Alternative,5,1872,../../public/Albumcovers/HappierThanEver.jpg,"My first ever CD purchase! I was with my Grandmother when I purchased, and she said: „U sure it’s a good cd/album? She’s crying on the cover. This is not my type...”. Lucky me, I can listen this CD every time!",Paper sleeve,6,2021
30,Adele,2021,Pop,4,0,../../public/Albumcovers/30.jpg,"I’m not going to sugarcoat it, bought it because Adele. I liked the album named „25” so I tought it will be good and yes I like it. I’ld reather listen this on CD player’s speaker insted of my headphones! Not to mention the booklet! It’s full of photos!",Plastic Case,7,2022
808s & Heartbreak,Kanye West,2008,Rap,4,2542,../../public/Albumcovers/808s.jpg,I bought this CD without knowing any tracks of it. Lucky for me it turns out like them all (almost). I’ve got a poster and booklet too!,Paper sleeve,8,2023
Cracker Island,Gorillaz,2023,Indie Rock,4,2202,../../public/Albumcovers/CrackerIsland.jpg,"My first impression was „It’s not good enough to be Gorillaz album!”, then second time: „I like it! I defenetly, want that!”. A few days later one of the music shops on Facebook shered a post thats said we got in stock! Next day a rushed to the shop and get a copy for myself. One of my favorites and also a reall nice booklet too!",Paper sleeve,9,2023
Demon Days,Gorillaz,2005,Indie Rock,4,17,../../public/Albumcovers/DemonDays.jpg,"I bought it, because it was a last on the self and I already got a DVD verision the „DARE” song so „What could go possibly wrong?”. I like it and reccomend it to listen at least one time! Not to mention, the booklet that’s every page is song themed picture!",Plastic Case,10,2023
Donda [Disc 1],Kanye West,2021,Rap,4,2904,../../public/Albumcovers/Donda1.jpg,"This one has a special story. Few days before Chrismas Me and my Friend (who came back from a different country) then the mall to buy CD for his sibling. We check the CDs and he got in the long queue. A few minutes later a spotted the fully black plastic case. And the barcode stricker said „West Kanye - Donda”. I rushed to my friend to tell him what i found „I have to buy this because its a Kanye West album”, He said „No way!!! Would you like that?” I said „Yes I will payback the price eventually”. In a nutshell it’s my Chrismas present, and I like the songs on it (mostly, it’s too much gospel for me) ",Plastic Case,11,2022
Endless Summer Vacation,Miley Cyrus,2023,Pop,4,2641,../../public/Albumcovers/EndlessSummerVacation.jpg,"I bought this with my firend, because I tought it’s overrated so I don’t need it. Turns out I like the song on it, so we went back a week later and we only found some cracked case ones but it’s all right the disc is probably fine.",Plastic Case,12,2023
Humanz,Gorillaz,2017,Indie Rock,5,1715,../../public/Albumcovers/Humanz.jpg,My favorite Gorilazz Album! What can I say I like almost every song on it! Actually I purchased with the disc The Now Now.,Plastic Case,13,2022
My Beautiful Dark Twisted Fantasy,Kanye West,2010,Rap,3,2,../../public/Albumcovers/MyBeautifulDarkTwistedFantasy.jpg,"The second third Kanye West album that I didn’t know any track from the tracklist before. Truns out I already heard a lot before in TV advertisements! The booklet was Ok and the song is „just right”, but I cant listen it all the time.",Plastic Case,14,2023
Plastic Beach,Gorillaz,2010,Indie Rock,3,1457,../../public/Albumcovers/PlasticBeach.jpg,Honestly I hoped a bit more from this. It isn’t really my type I like a few song from it!,Paper sleeve,15,2023
The Highlights,The Weeknd,2021,R&B,4,2418,../../public/Albumcovers/TheHighlists.jpg,"Not going to lie a few months ago I had a „The Weeknd phase”, when I mostly listened Weeknd for a while. That’s why a bought it.",Plastic Case,16,2023
The Now Now,Gorillaz,2018,Indie Rock,4,2305,../../public/Albumcovers/TheNowNow.jpg,My first impression was „it’s ok”  CD. Later on I listened so many times and started to like it even more. Still not my favorite but it has a uniqe vibe.,Plastic Case,17,2022
"The Best Of, Vol. 1",Depeche Mode,1989,Alternative,4,2818,../../public/Albumcovers/BestofVol1.jpg,My father was a big Depeche Mode fan way back ago. He listened so much he stated to dislike it. When I was young and sitting a car when we traveled usually these songs played. I bought it because time to time I like to listen it.,Plastic Case,18,2023
